centerFrame,time,zeroCross,intensity,autoCorr,LPC1,error,bandRatio,HNR
3753,37.53000,36.00000,-10.18851,0.94861,-1.56445,-2.87585,14.92403,3.73623
3754,37.54000,29.00000,-10.16989,0.95518,-1.67364,-2.91278,15.36928,3.89922
3755,37.55000,25.00000,-9.72990,0.95978,-1.65039,-2.92441,15.66629,3.80679
3756,37.56000,28.00000,-10.12785,0.95799,-1.54940,-2.90158,14.81093,3.78697
3757,37.57000,25.00000,-10.09202,0.95742,-1.59553,-2.89395,14.55613,3.68940
3758,37.58000,32.00000,-9.82079,0.95303,-1.68198,-2.90179,15.48435,3.74073
3759,37.59000,37.00000,-10.11753,0.95142,-1.53564,-2.86825,15.06153,3.60543
3760,37.60000,27.00000,-9.79417,0.95887,-1.73023,-2.91672,15.27376,3.41974
3761,37.61000,29.00000,-9.57198,0.95545,-1.71471,-2.91025,14.97620,3.21514
3762,37.62000,33.00000,-10.15012,0.94672,-1.83842,-2.90283,15.15780,3.37335
3763,37.63000,30.00000,-10.15878,0.94963,-1.70756,-2.89018,15.39782,2.87186
3764,37.64000,28.00000,-9.93387,0.95154,-1.79988,-2.90623,15.74395,2.80725
3765,37.65000,30.00000,-10.18150,0.94891,-1.65108,-2.88151,15.86259,2.82478
3766,37.66000,32.00000,-10.57865,0.94918,-1.63554,-2.87694,15.73937,2.87512
3767,37.67000,28.00000,-9.82187,0.95848,-1.74964,-2.91685,17.66461,2.50891
3768,37.68000,25.00000,-9.56579,0.95972,-1.74882,-2.92039,17.94671,2.90670
3769,37.69000,28.00000,-9.62326,0.95685,-1.59430,-2.88735,16.81318,2.87391
3770,37.70000,28.00000,-8.70998,0.96234,-1.94720,-2.95529,20.13643,2.84391
3771,37.71000,31.00000,-8.96008,0.96084,-1.46672,-2.87407,16.82319,2.93636
3772,37.72000,30.00000,-8.88717,0.96109,-1.86894,-2.95070,19.74940,2.89664
3773,37.73000,26.00000,-8.61460,0.95966,-1.57349,-2.91096,18.99154,2.92567
3774,37.74000,36.00000,-9.35520,0.95541,-1.78773,-2.92873,18.88538,2.63294
3775,37.75000,37.00000,-9.67660,0.95551,-1.88208,-2.94864,20.01167,2.31733
3776,37.76000,30.00000,-10.20011,0.95090,-1.71612,-2.91922,18.49460,1.86784
3777,37.77000,25.00000,-10.55850,0.94521,-1.75672,-2.91251,17.08033,1.65435
3778,37.78000,26.00000,-10.26983,0.95169,-1.75164,-2.92407,17.19594,0.97039
3779,37.79000,30.00000,-10.31858,0.95277,-1.65649,-2.91270,17.45246,0.64075
3780,37.80000,34.00000,-10.67996,0.94663,-1.60609,-2.89508,16.90199,0.46602
3781,37.81000,37.00000,-10.93407,0.93978,-1.72768,-2.92195,18.49260,0.42311
3782,37.82000,33.00000,-10.58450,0.94304,-1.52900,-2.88430,17.22272,0.57575
3783,37.83000,28.00000,-10.10800,0.95053,-1.61042,-2.91176,18.01730,0.77292
3784,37.84000,24.00000,-9.98642,0.95395,-1.58969,-2.89814,16.66410,1.03685
3785,37.85000,24.00000,-9.86822,0.95549,-1.68368,-2.92977,18.05886,0.99746
3786,37.86000,24.00000,-9.80886,0.95537,-1.71363,-2.94461,18.85219,0.83341
3787,37.87000,24.00000,-9.95281,0.95235,-1.80037,-2.94383,18.86119,0.60615
3788,37.88000,23.00000,-10.01332,0.94954,-1.67237,-2.92936,18.12898,0.46363
3789,37.89000,25.00000,-9.84200,0.95280,-1.48716,-2.89229,16.73107,0.34690
3790,37.90000,28.00000,-9.90875,0.95692,-1.57255,-2.92836,18.39406,0.43463
3791,37.91000,30.00000,-10.15649,0.95645,-1.44152,-2.90371,17.09110,0.41204
3792,37.92000,33.00000,-10.28179,0.95558,-1.59166,-2.93392,18.36002,0.47180
3793,37.93000,34.00000,-10.21890,0.95682,-1.71243,-2.95077,18.39383,0.52754
3794,37.94000,32.00000,-9.98901,0.95935,-1.65745,-2.95199,18.27795,0.67746
3795,37.95000,31.00000,-9.70268,0.96188,-1.52637,-2.93423,17.64140,0.71850
3796,37.96000,32.00000,-9.45619,0.96530,-1.50239,-2.92660,17.19101,0.79115
3797,37.97000,30.00000,-9.38274,0.96628,-1.45406,-2.92354,17.06952,0.79635
3798,37.98000,26.00000,-9.42275,0.96608,-1.50056,-2.92448,16.57076,0.69135
3799,37.99000,25.00000,-9.49490,0.96656,-1.53302,-2.93231,16.79882,0.51756
3800,38.00000,21.00000,-9.48823,0.96696,-1.62685,-2.93708,17.13019,0.47933
3801,38.01000,18.00000,-9.37785,0.96889,-1.69709,-2.95278,18.37090,0.54900
3802,38.02000,20.00000,-9.39849,0.96858,-1.61827,-2.94864,18.36751,0.53155
3803,38.03000,20.00000,-9.57232,0.96675,-1.60899,-2.94385,18.33265,0.56031
3804,38.04000,18.00000,-9.58092,0.96609,-1.56373,-2.93275,17.77553,0.57942
3805,38.05000,20.00000,-9.45037,0.96662,-1.63345,-2.94501,18.78805,0.55742
3806,38.06000,23.00000,-9.57516,0.96545,-1.51811,-2.91432,17.42135,0.47154
3807,38.07000,25.00000,-9.73332,0.96506,-1.70831,-2.95519,18.38494,0.56662
3808,38.08000,26.00000,-9.51284,0.96570,-1.58171,-2.93631,18.23782,0.65814
3809,38.09000,24.00000,-9.40066,0.96587,-1.65474,-2.94080,17.63021,0.65599
3810,38.10000,24.00000,-9.59205,0.96390,-1.76421,-2.94836,18.02114,0.60465
3811,38.11000,27.00000,-9.87179,0.96296,-1.76791,-2.94931,18.15636,0.59149
3812,38.12000,31.00000,-10.00521,0.96381,-1.91965,-2.96407,18.09906,0.51884
3813,38.13000,26.00000,-10.12107,0.96353,-1.77965,-2.95037,17.92728,0.39249
3814,38.14000,21.00000,-10.18224,0.96254,-1.88251,-2.95972,18.14612,0.44134
3815,38.15000,24.00000,-10.19170,0.96142,-1.56546,-2.92259,18.00740,0.49668
3816,38.16000,22.00000,-10.14121,0.96101,-2.03715,-2.96336,18.74485,0.48804
3817,38.17000,25.00000,-10.44119,0.95914,-1.69132,-2.92229,17.87214,0.50945
3818,38.18000,26.00000,-10.71723,0.96004,-1.68290,-2.92469,17.68714,0.57788
3819,38.19000,22.00000,-10.57397,0.96161,-1.52502,-2.90157,17.24415,0.51367
3820,38.20000,18.00000,-10.60871,0.96288,-1.62124,-2.92076,17.88026,0.51702
3821,38.21000,17.00000,-10.77904,0.96075,-1.50475,-2.89596,16.80896,0.49034
3822,38.22000,19.00000,-11.01802,0.95708,-1.68085,-2.92142,16.69533,0.44913
3823,38.23000,24.00000,-11.14109,0.95754,-1.76325,-2.93244,16.81104,0.43482
3824,38.24000,30.00000,-11.20578,0.95676,-1.76544,-2.93172,17.36208,0.43920
3825,38.25000,30.00000,-11.29859,0.95796,-1.78045,-2.93153,17.12775,0.48957
3826,38.26000,30.00000,-11.33307,0.95910,-1.48170,-2.87975,16.04954,0.53596
3827,38.27000,27.00000,-11.23061,0.96047,-1.69871,-2.92725,18.05323,0.56641
3828,38.28000,28.00000,-11.49989,0.95659,-1.41701,-2.85604,16.25721,0.61251
3829,38.29000,25.00000,-11.59861,0.95717,-1.50202,-2.88641,16.76565,0.59961
3830,38.30000,20.00000,-11.70391,0.95983,-1.49106,-2.89554,16.42884,0.44913
3831,38.31000,19.00000,-12.17243,0.95794,-1.45618,-2.88839,16.03531,0.34860
3832,38.32000,23.00000,-12.39277,0.95940,-1.64382,-2.92534,16.76298,0.20832
3833,38.33000,27.00000,-12.48078,0.96036,-1.65506,-2.93356,16.63940,0.07803
3834,38.34000,28.00000,-12.44193,0.96033,-1.68048,-2.93457,16.60735,0.05789
3835,38.35000,30.00000,-12.28947,0.96097,-1.68920,-2.93759,16.26550,0.10315
3836,38.36000,34.00000,-12.19394,0.95951,-1.49357,-2.90285,14.59907,0.14473
3837,38.37000,35.00000,-12.04021,0.95960,-1.49770,-2.89820,14.27742,0.13577
3838,38.38000,28.00000,-11.87089,0.95920,-1.47495,-2.89354,14.27910,0.17031
3839,38.39000,25.00000,-12.00854,0.95785,-1.46492,-2.88863,14.59982,0.29640
3840,38.40000,26.00000,-11.96875,0.96142,-1.45229,-2.88949,15.14958,0.31026
3841,38.41000,26.00000,-11.98468,0.96409,-1.49159,-2.88851,14.64636,0.27438
3842,38.42000,25.00000,-12.24509,0.96321,-1.43946,-2.88145,14.33859,0.28382
3843,38.43000,20.00000,-12.38815,0.96226,-1.50155,-2.90043,15.59024,0.22512
3844,38.44000,17.00000,-12.31868,0.96443,-1.57846,-2.92055,16.38864,0.06442
3845,38.45000,18.00000,-12.24399,0.96350,-1.62089,-2.92369,16.48602,0.00845
3846,38.46000,17.00000,-12.18341,0.96438,-1.61437,-2.92385,16.72465,0.04606
3847,38.47000,14.00000,-11.99540,0.96576,-1.50070,-2.91194,16.95312,0.11014
3848,38.48000,14.00000,-11.68432,0.96803,-1.51899,-2.91860,17.62030,0.14168
3849,38.49000,16.00000,-11.51090,0.96928,-1.51918,-2.92060,17.82460,0.25104
3850,38.50000,17.00000,-11.63250,0.96670,-1.56438,-2.91990,17.87913,0.47932
3851,38.51000,17.00000,-11.44502,0.96640,-1.41957,-2.88686,17.16221,0.59239
3852,38.52000,14.00000,-11.06137,0.96996,-1.52247,-2.91233,18.02146,0.54054
3853,38.53000,16.00000,-11.21836,0.96876,-1.45789,-2.89651,17.67834,0.50506
3854,38.54000,19.00000,-11.55321,0.96693,-1.49852,-2.90359,17.61156,0.45570
3855,38.55000,20.00000,-11.60418,0.96884,-1.50485,-2.92327,18.39405,0.28198
3856,38.56000,19.00000,-11.48151,0.97007,-1.45803,-2.92378,18.61638,0.12710
3857,38.57000,18.00000,-11.47614,0.96915,-1.51374,-2.92605,18.67899,0.16796
3858,38.58000,23.00000,-11.49528,0.96876,-1.48911,-2.92670,18.64479,0.28536
3859,38.59000,23.00000,-11.18725,0.96965,-1.34600,-2.89887,18.26154,0.32203
3860,38.60000,20.00000,-10.95878,0.97230,-1.48372,-2.93736,19.24075,0.26125
3861,38.61000,18.00000,-11.02796,0.97209,-1.39305,-2.91106,18.82339,0.26288
3862,38.62000,15.00000,-11.15543,0.97010,-1.51076,-2.93247,19.25021,0.18120
3863,38.63000,16.00000,-11.06663,0.96688,-1.60093,-2.93139,18.92611,0.03762
3864,38.64000,21.00000,-10.97524,0.96296,-1.58627,-2.91623,18.35588,-0.12840
3865,38.65000,22.00000,-11.06265,0.96137,-1.60869,-2.91476,18.65938,-0.16448
3866,38.66000,22.00000,-10.99705,0.96222,-1.46959,-2.90082,18.55249,-0.25991
3867,38.67000,22.00000,-11.02070,0.96222,-1.56855,-2.92026,18.98379,-0.33612
3868,38.68000,20.00000,-10.82267,0.96456,-1.46223,-2.91462,18.74580,-0.38994
3869,38.69000,20.00000,-10.81452,0.96493,-1.56047,-2.92874,19.07589,-0.36468
3870,38.70000,17.00000,-10.67245,0.96488,-1.52380,-2.91630,19.17181,-0.37834
3871,38.71000,16.00000,-10.56914,0.96535,-1.67766,-2.93819,20.01627,-0.35925
3872,38.72000,16.00000,-10.50905,0.96528,-1.52908,-2.91637,20.14488,-0.36887
3873,38.73000,20.00000,-10.43858,0.96532,-1.62565,-2.93368,20.24052,-0.32765
3874,38.74000,24.00000,-10.51809,0.96370,-1.53472,-2.91363,20.00069,-0.38375
3875,38.75000,24.00000,-10.58041,0.95975,-1.59786,-2.91262,19.23310,-0.45222
3876,38.76000,21.00000,-10.59408,0.95718,-1.46380,-2.89034,18.58831,-0.43136
3877,38.77000,19.00000,-10.78596,0.95822,-1.30328,-2.86280,17.69681,-0.42048
3878,38.78000,22.00000,-10.50003,0.96091,-1.36454,-2.86543,18.02019,-0.54332
3879,38.79000,22.00000,-10.36956,0.96109,-1.32400,-2.85245,17.50044,-0.60215
3880,38.80000,20.00000,-10.81054,0.95542,-1.34507,-2.85472,17.12404,-0.60649
3881,38.81000,23.00000,-10.93930,0.95595,-1.41590,-2.88689,18.19502,-0.73573
3882,38.82000,25.00000,-10.81548,0.95680,-1.37749,-2.88031,17.69001,-0.92802
3883,38.83000,19.00000,-10.29649,0.96129,-1.36800,-2.89893,18.84275,-0.75206
3884,38.84000,24.00000,-9.31301,0.96887,-1.27398,-2.90078,19.23964,-0.08616
3885,38.85000,24.00000,-8.49540,0.97381,-1.31753,-2.91762,20.44037,0.04947
3886,38.86000,19.00000,-7.93774,0.97731,-1.35361,-2.94883,22.72306,-39.76454
3887,38.87000,17.00000,-9.16922,0.97808,-1.26287,-2.92339,20.54628,-39.68636
3888,38.88000,22.00000,-12.61635,0.97319,-1.43765,-2.91989,17.81491,-39.91163
3889,38.89000,28.00000,-14.02780,0.96856,-1.57885,-2.93785,16.58282,-40.50002
3890,38.90000,27.00000,-14.88363,0.96225,-1.41561,-2.89953,16.18078,-40.80045
3891,38.91000,29.00000,-14.57731,0.96298,-1.41704,-2.90297,16.11805,-0.13141
3892,38.92000,25.00000,-13.39417,0.96608,-1.29785,-2.87054,15.87371,1.14737
3893,38.93000,21.00000,-9.23690,0.97672,-1.48993,-2.95747,21.07996,2.49730
3894,38.94000,22.00000,-6.41875,0.97854,-1.32178,-2.94726,22.51505,3.31852
3895,38.95000,20.00000,-5.53865,0.97614,-1.44759,-2.97235,25.58859,4.61233
3896,38.96000,19.00000,-4.76482,0.97607,-1.43027,-2.96468,25.21906,5.08840
3897,38.97000,19.00000,-2.82683,0.97873,-1.32741,-2.96920,25.49009,4.76924
3898,38.98000,18.00000,-2.86566,0.97804,-1.43974,-2.98955,28.39269,4.40329
3899,38.99000,17.00000,-4.25884,0.97612,-1.25115,-2.95492,23.45112,4.53814
3900,39.00000,17.00000,-5.35605,0.97210,-1.50026,-2.96347,23.03558,4.01372
3901,39.01000,20.00000,-7.06189,0.96043,-1.48222,-2.92378,19.82919,3.64007
3902,39.02000,21.00000,-6.94138,0.96116,-1.37430,-2.91511,19.96785,3.67123
3903,39.03000,20.00000,-6.95673,0.96652,-1.30313,-2.91436,19.21904,3.97163
3904,39.04000,21.00000,-6.29857,0.96986,-1.30653,-2.93468,21.18271,4.03501
3905,39.05000,19.00000,-5.72140,0.97365,-1.22251,-2.92086,19.97133,4.56792
3906,39.06000,20.00000,-5.17177,0.97564,-1.43343,-2.97221,23.06079,4.85152
3907,39.07000,23.00000,-4.60663,0.97537,-1.25346,-2.95777,23.08678,5.08251
3908,39.08000,21.00000,-4.46757,0.97480,-1.33158,-2.95927,23.17600,5.03509
3909,39.09000,19.00000,-4.24816,0.97466,-1.39592,-2.96775,23.43632,5.14472
3910,39.10000,20.00000,-4.10819,0.97616,-1.30837,-2.96189,23.46456,5.07360
3911,39.11000,19.00000,-4.57920,0.97585,-1.29613,-2.96677,23.54440,4.84645
3912,39.12000,21.00000,-5.69359,0.97288,-1.30557,-2.94546,21.74501,4.63239
3913,39.13000,21.00000,-6.46363,0.96764,-1.33457,-2.93794,20.89578,4.16251
3914,39.14000,19.00000,-6.91390,0.96334,-1.36949,-2.91549,18.75667,3.68286
3915,39.15000,30.00000,-7.66944,0.95586,-1.39231,-2.90463,16.92307,3.23174
3916,39.16000,32.00000,-8.70720,0.95224,-1.39038,-2.90095,16.37867,2.97760
3917,39.17000,29.00000,-9.07771,0.94876,-1.48499,-2.88558,16.13489,2.56972
3918,39.18000,32.00000,-9.36396,0.93700,-1.75907,-2.91064,16.38653,2.55982
3919,39.19000,32.00000,-9.82698,0.94100,-1.57763,-2.88966,17.00293,2.49398
3920,39.20000,30.00000,-10.03524,0.95162,-1.62067,-2.91305,17.16403,2.45756
3921,39.21000,28.00000,-9.79934,0.94953,-1.72553,-2.92957,17.64163,2.29047
3922,39.22000,30.00000,-9.91834,0.94586,-1.55346,-2.89472,16.19897,2.39820
3923,39.23000,36.00000,-10.36036,0.94169,-1.54315,-2.87222,15.68681,2.11344
3924,39.24000,38.00000,-10.61448,0.93950,-1.64876,-2.89121,17.53402,1.63634
3925,39.25000,36.00000,-10.98356,0.93723,-1.66022,-2.89716,18.15556,1.66542
3926,39.26000,40.00000,-10.82533,0.93787,-1.72267,-2.90484,19.19406,1.80469
3927,39.27000,37.00000,-10.29852,0.94527,-1.68373,-2.91495,20.22437,1.85484
3928,39.28000,31.00000,-9.61904,0.94986,-1.60590,-2.91646,20.90222,1.97181
3929,39.29000,34.00000,-8.98530,0.95622,-1.57765,-2.92116,20.56662,2.42488
3930,39.30000,36.00000,-9.73004,0.95201,-1.50197,-2.88995,19.59673,2.25025
3931,39.31000,35.00000,-10.26310,0.94921,-1.56133,-2.89689,20.17235,2.20763
3932,39.32000,35.00000,-10.20280,0.95231,-1.42832,-2.86042,18.86255,2.14862
3933,39.33000,34.00000,-10.01933,0.95704,-1.63543,-2.92213,20.70118,2.14575
3934,39.34000,36.00000,-9.20015,0.96098,-1.49986,-2.90793,20.24908,2.36987
3935,39.35000,46.00000,-9.80772,0.95734,-1.60106,-2.92517,21.08882,2.41438
3936,39.36000,40.00000,-9.96548,0.95695,-1.55911,-2.91339,20.27889,2.21026
3937,39.37000,32.00000,-9.74851,0.95748,-1.57364,-2.91465,20.38041,2.04303
3938,39.38000,35.00000,-10.47816,0.95162,-1.30313,-2.81815,16.71959,1.84489
3939,39.39000,32.00000,-10.53926,0.96023,-1.42124,-2.89234,19.60051,1.64362
3940,39.40000,32.00000,-10.42718,0.96034,-1.30534,-2.83046,16.88606,1.65159
3941,39.41000,31.00000,-10.65726,0.95379,-1.52176,-2.89420,19.94957,1.91230
3942,39.42000,26.00000,-10.23703,0.96030,-1.47935,-2.90405,20.43530,2.21522
3943,39.43000,29.00000,-9.43979,0.96521,-1.60240,-2.93842,21.63795,2.33274
3944,39.44000,36.00000,-10.05900,0.96407,-1.46998,-2.92009,20.71603,2.37732
3945,39.45000,35.00000,-10.69663,0.96587,-1.30417,-2.87458,18.85474,2.45861
3946,39.46000,30.00000,-10.27613,0.97135,-1.38151,-2.92380,21.04992,2.33648
3947,39.47000,27.00000,-10.01632,0.97514,-1.33667,-2.90648,19.97239,2.23853
3948,39.48000,25.00000,-11.05830,0.97550,-1.46345,-2.92598,19.83504,2.22527
3949,39.49000,20.00000,-11.65182,0.97647,-1.67245,-2.95838,18.72965,2.01096
3950,39.50000,16.00000,-11.28832,0.97910,-1.56722,-2.95732,18.19107,1.82930
3951,39.51000,19.00000,-11.99180,0.97883,-1.66967,-2.95954,16.43083,1.50983
3952,39.52000,16.00000,-11.88268,0.97778,-1.64296,-2.95434,15.87317,1.05050
3953,39.53000,12.00000,-12.25219,0.97588,-1.65935,-2.94962,15.21782,0.97510
3954,39.54000,19.00000,-12.03919,0.96896,-1.59862,-2.93005,16.50104,1.06591
3955,39.55000,23.00000,-11.46139,0.95389,-1.61917,-2.90882,17.70517,1.42725
3956,39.56000,21.00000,-10.98696,0.95300,-1.57439,-2.89421,17.17597,1.93133
3957,39.57000,18.00000,-10.52138,0.96255,-1.49802,-2.90156,15.78055,2.40609
3958,39.58000,18.00000,-10.42743,0.96221,-1.38857,-2.87994,14.71803,2.73825
3959,39.59000,21.00000,-10.52299,0.95258,-1.39114,-2.84642,14.68792,2.81252
3960,39.60000,21.00000,-10.51379,0.94587,-1.43364,-2.82155,14.68422,2.72845
3961,39.61000,16.00000,-10.39440,0.94971,-1.50135,-2.85394,15.48015,2.56878
3962,39.62000,18.00000,-10.52418,0.94786,-1.47593,-2.84644,15.20993,2.57704
3963,39.63000,16.00000,-10.69271,0.94213,-1.56420,-2.85260,14.61721,2.39325
3964,39.64000,20.00000,-10.77396,0.94571,-1.65689,-2.87464,14.34151,2.41248
3965,39.65000,19.00000,-10.74076,0.94492,-1.49009,-2.83966,13.43160,2.18962
3966,39.66000,19.00000,-10.58012,0.94072,-1.50445,-2.84003,13.40879,2.35188
3967,39.67000,21.00000,-10.31986,0.94409,-1.49553,-2.83004,13.37229,2.15540
3968,39.68000,17.00000,-10.30188,0.94893,-1.52200,-2.86326,14.55558,2.36473
3969,39.69000,16.00000,-10.19375,0.95476,-1.37187,-2.83195,13.77661,2.30929
3970,39.70000,19.00000,-10.72947,0.94324,-1.38201,-2.81479,13.21359,2.35978
3971,39.71000,23.00000,-11.14415,0.93370,-1.32356,-2.77048,13.20473,2.11466
3972,39.72000,24.00000,-11.31204,0.92798,-1.40254,-2.78850,12.89034,2.06627
3973,39.73000,33.00000,-11.34086,0.91657,-1.59085,-2.81158,13.55803,1.95468
3974,39.74000,34.00000,-11.19721,0.92099,-1.59548,-2.81292,13.75205,1.77290
3975,39.75000,31.00000,-11.20573,0.92790,-1.63106,-2.84319,14.79778,1.83216
3976,39.76000,33.00000,-11.38595,0.92557,-1.55082,-2.82318,14.04908,1.70255
3977,39.77000,32.00000,-11.46339,0.92763,-1.51770,-2.82090,14.35264,1.82930
3978,39.78000,30.00000,-11.30487,0.93223,-1.60702,-2.84748,16.05288,1.63177
3979,39.79000,28.00000,-11.22124,0.93140,-1.61899,-2.84146,15.85706,1.77260
3980,39.80000,34.00000,-11.09165,0.93177,-1.61354,-2.83283,15.55217,1.68262
3981,39.81000,34.00000,-11.05709,0.93269,-1.60472,-2.82811,15.76740,1.89167
3982,39.82000,28.00000,-11.03697,0.93674,-1.67741,-2.85463,16.60636,1.61243
3983,39.83000,26.00000,-11.20813,0.94221,-1.55787,-2.84558,16.98097,1.53439
3984,39.84000,22.00000,-11.66239,0.95066,-1.61835,-2.87835,17.28345,1.53092
3985,39.85000,19.00000,-11.35350,0.96773,-1.51098,-2.90441,15.89457,1.79325
3986,39.86000,17.00000,-9.98164,0.97993,-1.51813,-2.94357,16.96914,1.83913
3987,39.87000,21.00000,-9.99040,0.97990,-1.54565,-2.95278,17.43724,2.20236
3988,39.88000,21.00000,-9.99406,0.97978,-1.51092,-2.95200,16.86829,2.85293
3989,39.89000,18.00000,-9.60031,0.97960,-1.50832,-2.94702,16.67017,2.98357
3990,39.90000,21.00000,-9.60684,0.97889,-1.66915,-2.96384,18.01886,2.91045
3991,39.91000,21.00000,-9.11028,0.97807,-1.48843,-2.94739,18.63909,2.90152
3992,39.92000,31.00000,-8.90436,0.96245,-1.74959,-2.94466,19.60026,3.14663
3993,39.93000,39.00000,-8.85818,0.94478,-1.63657,-2.91702,18.98135,2.98999
3994,39.94000,29.00000,-8.50587,0.94363,-1.83217,-2.92979,17.33655,3.00879
3995,39.95000,25.00000,-9.04808,0.94711,-1.68354,-2.90501,15.89304,3.15362
3996,39.96000,29.00000,-9.61270,0.94760,-1.72772,-2.90897,16.14194,3.30165
3997,39.97000,33.00000,-9.24439,0.94244,-1.91109,-2.92686,16.78283,3.19300
3998,39.98000,30.00000,-9.24888,0.94457,-1.76785,-2.91100,15.63185,3.27193
3999,39.99000,23.00000,-9.20384,0.94669,-1.81895,-2.91168,14.60740,3.36202
4000,40.00000,25.00000,-9.14298,0.93150,-1.79387,-2.88515,14.19356,3.38759
4001,40.01000,32.00000,-9.95579,0.91468,-1.67768,-2.83863,12.78786,3.43368
4002,40.02000,30.00000,-9.76284,0.93132,-1.64543,-2.87346,13.51670,3.50534
4003,40.03000,20.00000,-8.59220,0.94440,-1.61147,-2.87379,13.91094,3.35992
4004,40.04000,25.00000,-8.84561,0.94041,-1.77912,-2.89825,13.03159,3.41529
4005,40.05000,37.00000,-10.15336,0.92898,-1.50479,-2.82533,12.66576,3.52869
4006,40.06000,32.00000,-9.89315,0.93999,-1.53596,-2.85069,13.36557,3.35249
4007,40.07000,28.00000,-8.99572,0.94966,-1.71032,-2.89881,13.64967,3.24704
4008,40.08000,40.00000,-9.14023,0.93969,-1.64403,-2.86670,12.61303,3.30333
4009,40.09000,40.00000,-9.37987,0.93459,-1.77463,-2.88756,13.79860,3.29925
4010,40.10000,27.00000,-9.32839,0.93797,-1.88044,-2.90770,14.46069,3.08336
4011,40.11000,30.00000,-9.07229,0.94384,-1.70224,-2.88392,13.83057,3.23899
4012,40.12000,35.00000,-8.73810,0.94194,-1.68684,-2.88284,14.17676,3.30056
4013,40.13000,34.00000,-8.56843,0.94179,-1.94845,-2.92048,15.18976,3.44294
4014,40.14000,36.00000,-9.09847,0.93973,-1.59595,-2.85582,14.60189,3.39991
4015,40.15000,34.00000,-8.68589,0.94300,-1.69509,-2.88521,15.35291,3.19014
4016,40.16000,33.00000,-8.59116,0.94113,-1.70097,-2.88444,14.54817,3.21776
4017,40.17000,33.00000,-9.25406,0.93111,-1.55256,-2.83728,13.58442,3.38060
4018,40.18000,32.00000,-8.61506,0.93506,-1.64804,-2.85317,13.95580,3.17636
4019,40.19000,34.00000,-8.78516,0.93806,-1.70657,-2.87912,14.78918,3.10733
4020,40.20000,40.00000,-9.19636,0.93005,-1.55669,-2.82760,13.81119,3.43497
4021,40.21000,39.00000,-8.81737,0.93376,-1.87258,-2.90153,14.71097,3.46164
4022,40.22000,36.00000,-8.39279,0.94261,-1.88514,-2.91465,16.01375,3.37604
4023,40.23000,33.00000,-8.78960,0.94208,-1.75710,-2.89711,16.10055,3.54482
4024,40.24000,29.00000,-8.83349,0.94124,-1.50563,-2.85271,15.50912,3.56536
4025,40.25000,30.00000,-8.25730,0.94799,-1.88749,-2.92695,17.30447,3.70055
4026,40.26000,31.00000,-8.40759,0.95253,-1.57153,-2.88349,16.82209,3.77936
4027,40.27000,26.00000,-8.12854,0.94994,-1.59521,-2.88810,17.63050,3.81426
4028,40.28000,23.00000,-8.10403,0.94401,-1.54964,-2.88019,17.60365,3.78831
4029,40.29000,21.00000,-8.18035,0.94730,-1.53504,-2.87875,18.40240,4.10260
4030,40.30000,20.00000,-7.63185,0.95732,-1.53186,-2.90301,18.48736,3.49456
4031,40.31000,23.00000,-7.88841,0.96633,-1.65844,-2.94219,19.87438,3.47823
4032,40.32000,26.00000,-9.16808,0.97214,-1.46502,-2.92318,17.71821,3.51829
4033,40.33000,19.00000,-8.75864,0.98076,-1.81592,-2.97270,15.45123,3.42356
4034,40.34000,16.00000,-7.94346,0.98388,-1.66557,-2.97134,16.08916,3.55103
4035,40.35000,16.00000,-8.17405,0.98191,-1.60125,-2.96306,15.88962,4.17878
4036,40.36000,13.00000,-7.65185,0.98280,-1.63793,-2.96832,15.12216,4.32506
4037,40.37000,14.00000,-7.09078,0.98214,-1.33157,-2.93013,15.08525,4.60272
4038,40.38000,20.00000,-5.59599,0.97382,-1.70564,-2.96136,20.71529,5.07925
4039,40.39000,27.00000,-4.58387,0.96920,-1.65275,-2.94423,20.70720,5.04230
4040,40.40000,29.00000,-4.88039,0.96523,-1.57454,-2.92582,19.91334,5.41275
4041,40.41000,35.00000,-4.76799,0.95856,-1.91362,-2.95763,21.53603,5.60618
4042,40.42000,42.00000,-4.51112,0.95172,-1.65350,-2.92203,20.34646,5.57843
4043,40.43000,36.00000,-4.70212,0.94849,-1.56786,-2.89070,18.68593,5.55456
4044,40.44000,32.00000,-5.13977,0.95101,-1.82467,-2.93317,18.94344,5.68109
4045,40.45000,37.00000,-5.27502,0.94622,-1.54828,-2.88105,17.11203,5.52790
4046,40.46000,31.00000,-4.89152,0.94578,-1.71141,-2.92484,17.69924,5.39358
4047,40.47000,26.00000,-5.25260,0.94897,-1.77702,-2.93339,17.11560,5.35893
4048,40.48000,35.00000,-6.01704,0.93840,-1.75438,-2.91748,16.97750,5.39697
4049,40.49000,31.00000,-5.10463,0.94443,-1.78546,-2.93196,17.04459,5.33078
4050,40.50000,27.00000,-4.77543,0.94988,-1.81974,-2.94362,17.65957,5.32288
4051,40.51000,31.00000,-5.55098,0.94533,-1.44515,-2.86356,15.77835,5.40041
4052,40.52000,28.00000,-5.41219,0.94648,-1.80017,-2.92735,16.98170,5.53774
4053,40.53000,27.00000,-5.14450,0.94599,-1.49790,-2.85516,16.07631,5.40829
4054,40.54000,28.00000,-5.18922,0.94596,-1.82386,-2.93186,17.77626,5.23692
