centerFrame,time,zeroCross,intensity,autoCorr,LPC1,error,bandRatio,HNR
61,0.61000,54.00000,-16.20286,0.88804,-1.69205,-2.85815,16.59689,1.58995
62,0.62000,52.00000,-16.31240,0.89405,-1.76039,-2.87628,16.40411,1.31822
63,0.63000,48.00000,-16.47751,0.89728,-1.72572,-2.87713,16.25694,1.13557
64,0.64000,47.00000,-16.61216,0.89741,-1.79623,-2.89088,16.15151,0.91160
65,0.65000,45.00000,-16.47637,0.89994,-1.78444,-2.88515,16.19803,0.71826
66,0.66000,45.00000,-16.64592,0.90046,-1.83995,-2.89949,16.09628,0.58947
67,0.67000,50.00000,-16.98441,0.90207,-1.68370,-2.87725,15.76310,0.51424
68,0.68000,50.00000,-17.03084,0.90243,-1.73849,-2.88896,15.71763,0.47988
69,0.69000,47.00000,-17.08606,0.90370,-1.59166,-2.86916,15.64800,0.44391
70,0.70000,43.00000,-17.01516,0.90518,-1.52448,-2.84852,15.69229,0.45719
71,0.71000,38.00000,-16.83690,0.91171,-1.53696,-2.86397,15.85204,0.47730
72,0.72000,36.00000,-16.81672,0.91451,-1.41097,-2.82018,15.84990,0.56549
73,0.73000,39.00000,-16.71162,0.91774,-1.48177,-2.85744,15.91430,0.73890
74,0.74000,38.00000,-16.66356,0.91734,-1.48279,-2.84541,16.00244,0.95851
75,0.75000,34.00000,-16.58308,0.92063,-1.45330,-2.83582,15.85625,1.20379
76,0.76000,38.00000,-16.47641,0.92191,-1.61212,-2.86775,16.20252,1.31985
77,0.77000,38.00000,-16.51229,0.91971,-1.58822,-2.86660,16.09994,1.46487
78,0.78000,38.00000,-16.19502,0.92258,-1.49721,-2.83556,15.83456,1.51702
79,0.79000,40.00000,-16.02149,0.92369,-1.59381,-2.85551,16.23954,1.54933
80,0.80000,41.00000,-15.96696,0.92607,-1.47470,-2.84226,16.67448,1.57822
81,0.81000,43.00000,-15.77744,0.92621,-1.52615,-2.84400,16.77008,1.72772
82,0.82000,40.00000,-15.47815,0.92901,-1.76127,-2.89265,17.17398,1.94123
83,0.83000,37.00000,-15.42125,0.93131,-1.57889,-2.85523,16.90721,2.12471
84,0.84000,34.00000,-15.39551,0.93318,-1.72483,-2.88817,17.31233,2.35983
85,0.85000,31.00000,-15.19725,0.93528,-1.65819,-2.88719,17.51179,2.56963
86,0.86000,29.00000,-15.09897,0.93546,-1.64047,-2.88373,17.62537,2.72821
87,0.87000,28.00000,-15.03284,0.93747,-1.58626,-2.88547,17.67344,2.78757
88,0.88000,28.00000,-15.02231,0.93706,-1.52386,-2.87898,17.68717,2.86903
89,0.89000,28.00000,-14.79987,0.94045,-1.51032,-2.88036,17.89169,2.79636
90,0.90000,29.00000,-14.67866,0.94023,-1.43909,-2.85867,18.01219,2.63681
91,0.91000,29.00000,-14.71030,0.94024,-1.44875,-2.87256,18.03639,2.51530
92,0.92000,28.00000,-14.70681,0.94560,-1.41592,-2.86705,17.91566,2.48146
93,0.93000,28.00000,-14.68998,0.94779,-1.60034,-2.90869,17.92214,2.41271
94,0.94000,29.00000,-14.79717,0.94670,-1.52138,-2.89812,17.91009,2.35098
95,0.95000,30.00000,-14.72432,0.94675,-1.67826,-2.91188,17.96554,2.28809
96,0.96000,28.00000,-14.54904,0.94880,-1.60071,-2.89891,18.05051,2.16648
97,0.97000,27.00000,-14.44687,0.95075,-1.64064,-2.90746,18.11945,1.94005
98,0.98000,27.00000,-14.47661,0.94999,-1.70659,-2.91764,18.11578,1.60577
99,0.99000,26.00000,-14.31114,0.95088,-1.52258,-2.88792,18.19289,1.52083
100,1.00000,25.00000,-14.01710,0.95561,-1.56894,-2.90303,18.34600,1.37474
101,1.01000,27.00000,-14.06575,0.95401,-1.52365,-2.89832,18.31486,1.41097
102,1.02000,25.00000,-14.01679,0.95378,-1.55160,-2.91012,18.39725,1.35140
103,1.03000,26.00000,-14.18512,0.95413,-1.74013,-2.93166,18.22381,1.48322
104,1.04000,28.00000,-14.35459,0.95382,-1.66060,-2.92781,18.05858,1.46464
105,1.05000,28.00000,-14.17521,0.95491,-1.63609,-2.92397,18.22866,1.72901
106,1.06000,27.00000,-14.31600,0.95459,-1.75896,-2.94283,18.15125,1.78380
107,1.07000,23.00000,-14.45216,0.95532,-1.60904,-2.92813,18.03959,1.93627
108,1.08000,22.00000,-14.52748,0.95543,-1.70072,-2.93667,17.95480,1.97998
109,1.09000,24.00000,-14.62773,0.95520,-1.74314,-2.94059,17.85586,2.05146
110,1.10000,25.00000,-14.64944,0.95563,-1.61711,-2.92330,17.79988,1.86051
111,1.11000,27.00000,-14.77813,0.95535,-1.78489,-2.94016,17.70201,1.72743
112,1.12000,27.00000,-14.73760,0.95406,-1.54488,-2.90500,17.66694,1.66979
113,1.13000,25.00000,-14.65618,0.95589,-1.63885,-2.92923,17.62569,1.48818
114,1.14000,26.00000,-14.89894,0.95345,-1.54968,-2.91187,17.42215,1.32827
115,1.15000,27.00000,-15.06031,0.95266,-1.64345,-2.91926,17.22241,1.30937
116,1.16000,27.00000,-15.05389,0.95316,-1.49968,-2.89750,17.18095,1.15905
117,1.17000,27.00000,-15.16693,0.94995,-1.71892,-2.92087,17.10451,0.92818
118,1.18000,29.00000,-15.35661,0.94916,-1.55398,-2.88567,16.88714,0.70473
119,1.19000,30.00000,-15.47588,0.95036,-1.63263,-2.90225,16.71887,0.52865
120,1.20000,30.00000,-15.38144,0.95039,-1.70867,-2.91087,16.77852,0.29300
121,1.21000,33.00000,-15.77770,0.94649,-1.49851,-2.86244,16.39908,0.22423
122,1.22000,36.00000,-16.08023,0.94286,-1.68753,-2.88792,16.14335,0.09896
123,1.23000,36.00000,-16.05193,0.93972,-1.52646,-2.84878,16.04587,0.01214
124,1.24000,37.00000,-16.06014,0.94058,-1.67598,-2.88313,15.97073,-0.17799
125,1.25000,38.00000,-16.22480,0.93723,-1.49884,-2.82970,15.75252,-0.34407
126,1.26000,34.00000,-16.36504,0.93630,-1.54874,-2.84463,15.39620,-0.57805
127,1.27000,35.00000,-16.51256,0.93437,-1.48064,-2.82933,15.13952,-0.78714
128,1.28000,39.00000,-16.81231,0.92882,-1.51090,-2.81976,14.81519,-0.89290
129,1.29000,41.00000,-17.08496,0.92429,-1.59647,-2.83749,14.46633,-1.07450
130,1.30000,40.00000,-17.30857,0.92220,-1.62354,-2.83972,14.11478,-1.24090
131,1.31000,40.00000,-17.35029,0.91781,-1.62095,-2.82307,13.95599,-1.38826
132,1.32000,43.00000,-17.49352,0.90869,-1.62019,-2.80024,13.84928,-41.15235
133,1.33000,47.00000,-17.81695,0.90464,-1.60414,-2.80586,13.45939,-80.92547
134,1.34000,53.00000,-18.20054,0.89678,-1.58158,-2.79347,12.95487,-120.62439
135,1.35000,46.00000,-18.26215,0.89729,-1.55131,-2.79517,12.75704,-160.32498
136,1.36000,43.00000,-18.30129,0.89269,-1.64390,-2.81336,12.56710,-200.00000
137,1.37000,44.00000,-18.53985,0.88754,-1.55934,-2.79184,12.20984,-200.00000
138,1.38000,41.00000,-18.77830,0.88730,-1.54749,-2.78921,11.95306,-200.00000
139,1.39000,44.00000,-18.87470,0.88525,-1.57503,-2.80361,11.72056,-200.00000
140,1.40000,42.00000,-18.72748,0.88715,-1.55591,-2.80999,11.77004,-200.00000
141,1.41000,42.00000,-18.86129,0.87702,-1.61166,-2.81953,11.46887,-200.00000
