# frameNo,time,energy,intensity,sonorantEnergy,sonorantIntensity,band2to20Energy,band2to20Intensity,band1Intensity,band2Intensity,band3Intensity,band4Intensity,band1overlapInten,band2overlapInten,band3overlapInten,band4overlapInten,band1vaishaliInten,band2vaishaliInten,band3vaishaliInten,band4vaishaliInten,spectralTilt
22.00000,0.22000,0.05221,-12.82233,0.04837,-13.15420,0.05051,-12.96604,-25.57196,-21.32300,-21.59997,-19.63168,-15.17731,-15.93261,-18.25492,-33.01030,-27.30730,-14.58305,-19.51189,-33.01030,47.35180
23.00000,0.23000,0.05622,-12.50128,0.05225,-12.81888,0.05451,-12.63501,-25.33057,-20.97689,-21.33134,-19.40145,-14.79626,-15.66804,-17.98791,-33.01030,-27.28700,-14.22467,-19.28912,-33.01030,49.35214
24.00000,0.24000,0.05982,-12.23163,0.05594,-12.52304,0.05811,-12.35765,-25.32978,-20.76976,-20.75571,-19.19677,-14.55559,-15.32403,-17.75180,-33.01030,-27.21010,-13.90603,-19.08624,-33.01030,52.45293
25.00000,0.25000,0.06447,-11.90675,0.06050,-12.18218,0.06286,-12.01646,-25.55785,-20.47548,-20.37453,-18.94154,-14.17195,-14.99364,-17.51364,-32.63584,-27.52712,-13.52846,-18.82363,-33.01030,54.27603
26.00000,0.26000,0.06782,-11.68627,0.06442,-11.90999,0.06658,-11.76667,-26.42715,-20.02178,-20.56466,-18.52081,-13.86046,-14.77158,-17.18256,-32.28034,-29.41008,-13.31057,-18.40060,-33.01030,51.13787
27.00000,0.27000,0.07089,-11.49387,0.06737,-11.71521,0.06977,-11.56320,-26.40243,-20.08935,-19.79019,-18.47763,-13.66059,-14.42691,-17.14099,-31.71943,-29.68542,-13.05125,-18.36026,-33.01030,54.00918
28.00000,0.28000,0.07235,-11.40547,0.06892,-11.61626,0.07130,-11.46932,-26.59504,-19.85070,-20.24473,-18.39066,-13.53957,-14.59010,-16.95218,-30.99387,-29.86438,-12.96578,-18.27231,-33.01030,52.84019
29.00000,0.29000,0.07350,-11.33723,0.07007,-11.54443,0.07229,-11.40947,-26.49792,-19.97355,-19.75045,-18.44442,-13.44667,-14.35326,-17.04300,-31.58483,-29.40845,-12.84404,-18.34068,-33.01030,55.05950
30.00000,0.30000,0.07617,-11.18222,0.07246,-11.39920,0.07491,-11.25461,-25.85025,-19.46601,-20.32840,-18.22891,-13.26385,-14.49699,-16.83216,-31.73054,-28.57043,-12.72511,-18.14601,-33.01030,56.90254
31.00000,0.31000,0.07918,-11.01403,0.07586,-11.19966,0.07808,-11.07468,-26.11595,-19.34498,-20.01200,-18.12080,-13.05145,-14.26787,-16.62003,-32.66910,-29.10729,-12.52673,-18.05911,-33.01030,58.63375
